run,date,cash,market_value,equity,n_pos,exposure_pct
nb_vol07,2024-06-12,7511.47,5204.78,12716.25,3,40.93
nb_vol07,2024-06-13,7511.47,5202.77,12714.24,3,40.921
nb_vol07,2024-06-14,7511.47,5266.65,12778.12,3,41.216
nb_vol07,2024-06-17,7511.47,5366.89,12878.36,3,41.674
nb_vol07,2024-06-18,7511.47,5440.35,12951.82,3,42.005
nb_vol07,2024-06-19,7511.47,5509.56,13021.03,3,42.313
nb_vol07,2024-06-20,7511.47,5466.04,12977.51,3,42.119
nb_vol07,2024-06-21,7511.47,5570.59,13082.06,3,42.582
nb_vol07,2024-06-24,5574.0,7352.72,12926.72,4,56.88
nb_vol07,2024-06-25,10325.8,2455.49,12781.29,2,19.212
nb_vol07,2024-06-26,10325.8,2472.42,12798.23,2,19.318
nb_vol07,2024-06-27,11762.62,971.92,12734.54,1,7.632
nb_vol07,2024-06-28,11762.62,998.11,12760.74,1,7.822
nb_vol07,2024-07-01,9544.14,3268.48,12812.62,2,25.51
nb_vol07,2024-07-02,9544.14,3215.4,12759.54,2,25.2
nb_vol07,2024-07-03,5638.48,7107.22,12745.71,3,55.762
nb_vol07,2024-07-04,5638.48,7101.56,12740.04,3,55.742
nb_vol07,2024-07-05,5638.48,7158.61,12797.1,3,55.939
nb_vol07,2024-07-08,5638.48,7059.88,12698.36,3,55.597
nb_vol07,2024-07-09,7715.34,4958.03,12673.37,2,39.122
nb_vol07,2024-07-10,7715.34,4994.76,12710.09,2,39.298
nb_vol07,2024-07-11,7715.34,5052.1,12767.43,2,39.57
nb_vol07,2024-07-12,7715.34,5037.68,12753.01,2,39.502
nb_vol07,2024-07-15,5539.67,7204.73,12744.4,3,56.533
nb_vol07,2024-07-16,5539.67,7452.42,12992.09,3,57.361
nb_vol07,2024-07-17,5539.67,7488.37,13028.04,3,57.479
nb_vol07,2024-07-18,6541.15,6554.87,13096.02,2,50.052
nb_vol07,2024-07-19,6541.15,6660.33,13201.48,2,50.451
nb_vol07,2024-07-22,6541.15,6619.76,13160.9,2,50.299
nb_vol07,2024-07-23,4983.41,7912.62,12896.03,2,61.357
nb_vol07,2024-07-24,4983.41,7975.67,12959.08,2,61.545
nb_vol07,2024-07-25,8636.88,4096.33,12733.2,1,32.17
nb_vol07,2024-07-26,8636.88,4297.9,12934.78,1,33.227
nb_vol07,2024-07-29,6366.62,6491.7,12858.32,2,50.486
nb_vol07,2024-07-30,6366.62,6467.9,12834.51,2,50.395
nb_vol07,2024-07-31,6366.62,6559.36,12925.98,2,50.746
nb_vol07,2024-08-01,6366.62,6503.08,12869.69,2,50.53
nb_vol07,2024-08-02,6366.62,6396.9,12763.51,2,50.119
nb_vol07,2024-08-05,8492.39,4133.69,12626.09,1,32.739
nb_vol07,2024-08-06,8492.39,4196.62,12689.02,1,33.073
nb_vol07,2024-08-07,4310.04,8387.39,12697.42,2,66.056
nb_vol07,2024-08-08,8321.96,4159.2,12481.16,1,33.324
nb_vol07,2024-08-09,8321.96,4159.2,12481.16,1,33.324
nb_vol07,2024-08-12,4310.0,8003.12,12313.12,2,64.997
nb_vol07,2024-08-13,4310.0,8121.59,12431.6,2,65.33
nb_vol07,2024-08-14,4310.0,8085.21,12395.21,2,65.228
nb_vol07,2024-08-15,4310.0,8098.98,12408.98,2,65.267
nb_vol07,2024-08-16,8231.07,3933.1,12164.17,1,32.334
nb_vol07,2024-08-19,8231.07,3911.47,12142.54,1,32.213
nb_vol07,2024-08-20,4272.03,7771.45,12043.49,2,64.528
nb_vol07,2024-08-21,4272.03,7622.59,11894.63,2,64.084
nb_vol07,2024-08-22,7983.42,3892.79,11876.21,1,32.778
nb_vol07,2024-08-23,4391.99,7530.73,11922.72,2,63.163
nb_vol07,2024-08-26,4391.99,7429.37,11821.36,2,62.847
nb_vol07,2024-08-27,4391.99,7414.53,11806.52,2,62.8
nb_vol07,2024-08-28,4391.99,7478.35,11870.34,2,63.0
nb_vol07,2024-08-29,4391.99,7585.65,11977.64,2,63.332
nb_vol07,2024-08-30,4391.99,7480.18,11872.17,2,63.006
nb_vol07,2024-09-02,7757.9,3995.05,11752.95,1,33.992
nb_vol07,2024-09-03,7757.9,4059.95,11817.84,1,34.354
nb_vol07,2024-09-04,7757.9,4035.36,11793.26,1,34.218
nb_vol07,2024-09-05,7757.9,4042.25,11800.14,1,34.256
nb_vol07,2024-09-06,7757.9,4011.77,11769.66,1,34.086
nb_vol07,2024-09-09,7757.9,3964.57,11722.46,1,33.82
nb_vol07,2024-09-10,7757.9,3973.42,11731.31,1,33.87
nb_vol07,2024-09-11,7757.9,3982.27,11740.16,1,33.92
nb_vol07,2024-09-12,7757.9,3979.32,11737.21,1,33.903
nb_vol07,2024-09-13,7757.9,3980.3,11738.2,1,33.909
nb_vol07,2024-09-18,7757.9,3947.85,11705.75,1,33.726
nb_vol07,2024-09-19,7757.9,3855.43,11613.32,1,33.198
nb_vol07,2024-09-20,11518.2,0.0,11518.2,0,0.0
nb_vol07,2024-09-23,11518.2,0.0,11518.2,0,0.0
nb_vol07,2024-09-24,11518.2,0.0,11518.2,0,0.0
nb_vol07,2024-09-25,11518.2,0.0,11518.2,0,0.0
nb_vol07,2024-09-26,11518.2,0.0,11518.2,0,0.0
nb_vol07,2024-09-27,11518.2,0.0,11518.2,0,0.0
nb_vol07,2024-09-30,11518.2,0.0,11518.2,0,0.0
nb_vol07,2024-10-08,11518.2,0.0,11518.2,0,0.0
nb_vol07,2024-10-09,11518.2,0.0,11518.2,0,0.0
nb_vol07,2024-10-10,5124.25,6345.18,11469.43,2,55.323
nb_vol07,2024-10-11,101.27,10994.83,11096.1,6,99.087
nb_vol07,2024-10-14,2181.12,8976.54,11157.66,5,80.452
nb_vol07,2024-10-15,2181.12,8762.11,10943.23,5,80.069
nb_vol07,2024-10-16,3128.4,7652.49,10780.89,4,70.982
nb_vol07,2024-10-17,3128.4,7608.5,10736.91,4,70.863
nb_vol07,2024-10-18,3128.4,8009.36,11137.76,4,71.912
nb_vol07,2024-10-21,3128.4,8087.67,11216.07,4,72.108
nb_vol07,2024-10-22,5729.92,5446.61,11176.53,3,48.733
nb_vol07,2024-10-23,3298.89,7879.65,11178.54,4,70.489
nb_vol07,2024-10-24,3298.89,7907.44,11206.33,4,70.562
nb_vol07,2024-10-25,3298.89,7989.35,11288.24,4,70.776
nb_vol07,2024-10-28,3298.89,8046.58,11345.46,4,70.923
nb_vol07,2024-10-29,3298.89,8015.79,11314.68,4,70.844
nb_vol07,2024-10-30,3649.35,7650.24,11299.59,3,67.704
nb_vol07,2024-10-31,3649.35,7788.71,11438.06,3,68.095
nb_vol07,2024-11-01,4595.64,6709.61,11305.24,3,59.35
nb_vol07,2024-11-04,4595.64,6872.15,11467.79,3,59.926
nb_vol07,2024-11-05,4595.64,7026.55,11622.19,3,60.458
nb_vol07,2024-11-06,4595.64,7034.32,11629.95,3,60.484
nb_vol07,2024-11-07,4595.64,7096.79,11692.42,3,60.696
nb_vol07,2024-11-08,4595.64,7096.85,11692.48,3,60.696
nb_vol07,2024-11-11,4595.64,7182.03,11777.66,3,60.98
nb_vol07,2024-11-12,2345.64,9477.99,11823.63,4,80.161
nb_vol07,2024-11-13,2345.64,9397.23,11742.88,4,80.025
nb_vol07,2024-11-14,6718.02,4792.7,11510.71,2,41.637
nb_vol07,2024-11-15,2267.61,9068.68,11336.29,4,79.997
nb_vol07,2024-11-18,1739.37,9364.41,11103.77,4,84.335
nb_vol07,2024-11-19,170.9,11135.14,11306.04,5,98.488
nb_vol07,2024-11-20,170.9,11163.83,11334.73,5,98.492
nb_vol07,2024-11-21,170.9,11162.77,11333.67,5,98.492
nb_vol07,2024-11-22,4735.98,6125.4,10861.39,3,56.396
nb_vol07,2024-11-25,9238.16,1537.56,10775.72,1,14.269
nb_vol07,2024-11-26,4378.52,6327.88,10706.4,3,59.104
nb_vol07,2024-11-27,4378.52,6482.93,10861.45,3,59.688
nb_vol07,2024-11-28,4378.52,6408.66,10787.18,3,59.41
nb_vol07,2024-11-29,4378.52,6490.39,10868.91,3,59.715
nb_vol07,2024-12-02,4378.52,6609.88,10988.4,3,60.153
nb_vol07,2024-12-03,4378.52,6605.71,10984.23,3,60.138
nb_vol07,2024-12-04,3078.23,7852.94,10931.17,4,71.84
nb_vol07,2024-12-05,5855.03,5047.9,10902.92,3,46.299
nb_vol07,2024-12-06,5855.03,5069.71,10924.73,3,46.406
nb_vol07,2024-12-09,5855.03,5071.82,10926.84,3,46.416
nb_vol07,2024-12-10,5855.03,5086.38,10941.4,3,46.487
nb_vol07,2024-12-11,5855.03,5147.18,11002.2,3,46.783
nb_vol07,2024-12-12,5855.03,5195.56,11050.59,3,47.016
nb_vol07,2024-12-13,5855.03,5093.46,10948.48,3,46.522
nb_vol07,2024-12-16,5855.03,5028.11,10883.14,3,46.201
nb_vol07,2024-12-17,5855.03,4961.3,10816.33,3,45.869
nb_vol07,2024-12-18,5855.03,5026.47,10881.49,3,46.193
nb_vol07,2024-12-19,8651.0,2241.92,10892.92,1,20.581
nb_vol07,2024-12-20,8651.0,2315.46,10966.45,1,21.114
nb_vol07,2024-12-23,8651.0,2316.4,10967.39,1,21.121
nb_vol07,2024-12-24,8651.0,2328.65,10979.65,1,21.209
nb_vol07,2024-12-25,10973.96,0.0,10973.96,0,0.0
nb_vol07,2024-12-26,10973.96,0.0,10973.96,0,0.0
nb_vol07,2024-12-27,10973.96,0.0,10973.96,0,0.0
nb_vol07,2024-12-30,10973.96,0.0,10973.96,0,0.0
nb_vol07,2024-12-31,10973.96,0.0,10973.96,0,0.0
nb_vol07,2025-01-02,3110.31,7554.95,10665.25,3,70.837
nb_vol07,2025-01-03,10476.15,0.0,10476.15,0,0.0
nb_vol07,2025-01-06,10476.15,0.0,10476.15,0,0.0
nb_vol07,2025-01-07,8227.91,2260.77,10488.68,1,21.554
nb_vol07,2025-01-08,8227.91,2221.18,10449.09,1,21.257
nb_vol07,2025-01-09,8227.91,2221.18,10449.09,1,21.257
nb_vol07,2025-01-10,8227.91,2185.35,10413.26,1,20.986
nb_vol07,2025-01-13,8227.91,2152.36,10380.27,1,20.735
nb_vol07,2025-01-14,8227.91,2244.75,10472.66,1,21.434
nb_vol07,2025-01-15,8227.91,2187.24,10415.15,1,21.001
nb_vol07,2025-01-16,8227.91,2167.44,10395.35,1,20.85
nb_vol07,2025-01-17,8227.91,2257.95,10485.86,1,21.533
nb_vol07,2025-01-20,8227.91,2323.94,10551.85,1,22.024
nb_vol07,2025-01-21,8227.91,2341.85,10569.76,1,22.156
nb_vol07,2025-01-22,8227.91,2361.65,10589.56,1,22.302
nb_vol07,2025-01-23,8227.91,2319.23,10547.14,1,21.989
nb_vol07,2025-01-24,5611.14,5065.3,10676.44,2,47.444
nb_vol07,2025-01-27,5611.14,4845.6,10456.74,2,46.339
nb_vol07,2025-02-05,5611.14,4924.38,10535.52,2,46.741
nb_vol07,2025-02-06,5611.14,5100.37,10711.51,2,47.616
nb_vol07,2025-02-07,5611.14,5339.48,10950.62,2,48.76
nb_vol07,2025-02-10,5611.14,5304.06,10915.2,2,48.593
nb_vol07,2025-02-11,5611.14,5320.09,10931.23,2,48.669
nb_vol07,2025-02-12,5611.14,5394.49,11005.63,2,49.016
nb_vol07,2025-02-13,8035.47,2842.89,10878.36,1,26.133
nb_vol07,2025-02-14,8035.47,3022.94,11058.4,1,27.336
nb_vol07,2025-02-17,8035.47,3082.62,11118.09,1,27.726
nb_vol07,2025-02-18,9123.26,1927.38,11050.64,1,17.441
nb_vol07,2025-02-19,9123.26,1943.15,11066.41,1,17.559
nb_vol07,2025-02-20,9123.26,1984.54,11107.79,1,17.866
nb_vol07,2025-02-21,9123.26,1917.53,11040.79,1,17.368
nb_vol07,2025-02-24,9123.26,1937.24,11060.49,1,17.515
nb_vol07,2025-02-25,9123.26,1913.59,11036.85,1,17.338
nb_vol07,2025-02-26,9123.26,1889.94,11013.2,1,17.161
nb_vol07,2025-02-27,9123.26,1849.54,10972.8,1,16.856
nb_vol07,2025-02-28,4624.16,6124.06,10748.22,2,56.977
nb_vol07,2025-03-03,7455.87,3152.01,10607.88,1,29.714
nb_vol07,2025-03-04,5033.04,5662.8,10695.84,2,52.944
nb_vol07,2025-03-05,3799.96,7013.71,10813.66,3,64.86
nb_vol07,2025-03-06,3799.96,7139.55,10939.5,3,65.264
nb_vol07,2025-03-07,3799.96,7114.56,10914.51,3,65.184
nb_vol07,2025-03-10,3799.96,7020.73,10820.69,3,64.883
nb_vol07,2025-03-11,3799.96,6973.11,10773.06,3,64.727
nb_vol07,2025-03-12,3799.96,7132.82,10932.77,3,65.243
nb_vol07,2025-03-13,3799.96,6957.88,10757.84,3,64.677
nb_vol07,2025-03-14,3799.96,7103.8,10903.75,3,65.15
nb_vol07,2025-03-17,3799.96,7051.4,10851.35,3,64.982
nb_vol07,2025-03-18,3799.96,7155.31,10955.27,3,65.314
nb_vol07,2025-03-19,3799.96,6971.29,10771.24,3,64.721
nb_vol07,2025-03-20,3799.96,6952.64,10752.6,3,64.66
nb_vol07,2025-03-21,3799.96,6814.87,10614.83,3,64.201
nb_vol07,2025-03-24,6858.32,3761.02,10619.35,2,35.417
nb_vol07,2025-03-25,6858.32,3742.45,10600.78,2,35.304
nb_vol07,2025-03-26,6858.32,3699.0,10557.32,2,35.037
nb_vol07,2025-03-27,8166.16,2333.37,10499.53,1,22.224
nb_vol07,2025-03-28,8166.16,2310.74,10476.9,1,22.056
nb_vol07,2025-03-31,10434.72,0.0,10434.72,0,0.0
nb_vol07,2025-04-01,7921.3,2513.63,10434.93,1,24.089
nb_vol07,2025-04-02,7921.3,2503.96,10425.26,1,24.018
nb_vol07,2025-04-03,7921.3,2461.42,10382.72,1,23.707
nb_vol07,2025-04-07,10132.68,0.0,10132.68,0,0.0
nb_vol07,2025-04-08,8068.15,2095.88,10164.03,1,20.621
nb_vol07,2025-04-09,8068.15,2179.64,10247.78,1,21.269
nb_vol07,2025-04-10,8068.15,2352.08,10420.22,1,22.572
nb_vol07,2025-04-11,8068.15,2532.4,10600.55,1,23.889
nb_vol07,2025-04-14,8068.15,2718.64,10786.78,1,25.203
nb_vol07,2025-04-15,8068.15,2730.46,10798.61,1,25.285
nb_vol07,2025-04-16,8068.15,2951.18,11019.33,1,26.782
nb_vol07,2025-04-17,11021.67,0.0,11021.67,0,0.0
nb_vol07,2025-04-18,11021.67,0.0,11021.67,0,0.0
nb_vol07,2025-04-21,11021.67,0.0,11021.67,0,0.0
nb_vol07,2025-04-22,11021.67,0.0,11021.67,0,0.0
nb_vol07,2025-04-23,11021.67,0.0,11021.67,0,0.0
nb_vol07,2025-04-24,8237.1,2724.55,10961.64,1,24.855
nb_vol07,2025-04-25,8237.1,2670.35,10907.45,1,24.482
nb_vol07,2025-04-28,10823.64,0.0,10823.64,0,0.0
nb_vol07,2025-04-29,10823.64,0.0,10823.64,0,0.0
nb_vol07,2025-04-30,10823.64,0.0,10823.64,0,0.0
nb_vol07,2025-05-06,10823.64,0.0,10823.64,0,0.0
nb_vol07,2025-05-07,10823.64,0.0,10823.64,0,0.0
nb_vol07,2025-05-08,8116.99,2627.0,10743.98,1,24.451
nb_vol07,2025-05-09,8116.99,2647.69,10764.68,1,24.596
nb_vol07,2025-05-12,10652.15,0.0,10652.15,0,0.0
nb_vol07,2025-05-13,10652.15,0.0,10652.15,0,0.0
nb_vol07,2025-05-14,8053.99,2594.48,10648.47,1,24.365
nb_vol07,2025-05-15,8053.99,2569.84,10623.84,1,24.189
nb_vol07,2025-05-16,8053.99,2565.9,10619.9,1,24.161
nb_vol07,2025-05-19,8053.99,2564.92,10618.91,1,24.154
nb_vol07,2025-05-20,8053.99,2595.46,10649.46,1,24.372
nb_vol07,2025-05-21,8053.99,2741.3,10795.29,1,25.393
nb_vol07,2025-05-22,8053.99,2708.78,10762.78,1,25.168
nb_vol07,2025-05-23,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-05-26,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-05-27,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-05-28,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-05-29,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-05-30,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-03,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-04,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-05,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-06,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-09,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-10,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-11,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-12,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-13,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-16,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-17,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-18,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-19,10715.32,0.0,10715.32,0,0.0
nb_vol07,2025-06-20,8034.31,2660.5,10694.81,1,24.877
nb_vol07,2025-06-23,8034.31,2641.78,10676.08,1,24.745
nb_vol07,2025-06-24,10545.5,0.0,10545.5,0,0.0
nb_vol07,2025-06-25,10545.5,0.0,10545.5,0,0.0
nb_vol07,2025-06-26,10545.5,0.0,10545.5,0,0.0
nb_vol07,2025-06-27,10545.5,0.0,10545.5,0,0.0
nb_vol07,2025-06-30,10545.5,0.0,10545.5,0,0.0
nb_vol07,2025-07-01,10545.5,0.0,10545.5,0,0.0
nb_vol07,2025-07-02,10545.5,0.0,10545.5,0,0.0
nb_vol07,2025-07-03,10545.5,0.0,10545.5,0,0.0
nb_vol07,2025-07-04,10545.5,0.0,10545.5,0,0.0
nb_vol07,2025-07-07,5263.85,5260.41,10524.26,2,49.984
nb_vol07,2025-07-08,5263.85,5330.61,10594.46,2,50.315
nb_vol07,2025-07-09,5263.85,5287.47,10551.32,2,50.112
nb_vol07,2025-07-10,5263.85,5299.42,10563.27,2,50.168
nb_vol07,2025-07-11,5263.85,5325.32,10589.17,2,50.29
nb_vol07,2025-07-14,5263.85,5340.94,10604.79,2,50.363
nb_vol07,2025-07-15,5263.85,5286.09,10549.94,2,50.105
nb_vol07,2025-07-16,5263.85,5250.71,10514.56,2,49.938
nb_vol07,2025-07-17,5263.85,5305.26,10569.11,2,50.196
nb_vol07,2025-07-18,5263.85,5297.91,10561.76,2,50.161
